com.samsung.shealth.tracker.floors_day_summary,6302031,1
create_sh_ver,binning_data,modify_sh_ver,update_time,create_time,floor_count,version_code,deviceuuid,pkg_name,datauuid,day_time
62810050,,62810050,2024-10-24 04:58:53.761,2024-10-24 04:58:53.761,15,1,eyJR0JcLIT,com.sec.android.app.shealth,bd9e83c0-4e95-4bbc-9306-77728bd556d8,1699401600000,
62810050,,62810050,2024-10-24 04:58:53.779,2024-10-24 04:58:53.779,2,1,eyJR0JcLIT,com.sec.android.app.shealth,b3eafa96-7ac2-45e0-b3e8-295a52da16b8,1717286400000,
62810050,,62810050,2024-10-24 04:58:53.790,2024-10-24 04:58:53.790,7,1,eyJR0JcLIT,com.sec.android.app.shealth,4d48d246-c018-4db1-bc20-8aa0c2efae8f,1702857600000,
62810050,,62810050,2024-10-24 04:58:53.798,2024-10-24 04:58:53.798,8,1,eyJR0JcLIT,com.sec.android.app.shealth,bed1aa73-a02d-4ffd-aa95-029e59f494f3,1719532800000,
62810050,,62810050,2024-10-24 04:58:53.809,2024-10-24 04:58:53.809,3,1,eyJR0JcLIT,com.sec.android.app.shealth,1eda5777-9e11-4abc-b825-f17c2a6a49c9,1692489600000,
62810050,,62810050,2024-10-24 04:58:53.816,2024-10-24 04:58:53.816,5,1,eyJR0JcLIT,com.sec.android.app.shealth,9e0a044a-24e4-4f14-92ce-133a4b0123ec,1691884800000,
62810050,,62810050,2024-10-24 04:58:53.826,2024-10-24 04:58:53.826,2,1,eyJR0JcLIT,com.sec.android.app.shealth,b51c0c7a-ee61-46a4-b793-a12d63fcb0e9,1706313600000,
62810050,,62810050,2024-10-24 04:58:53.845,2024-10-24 04:58:53.845,6,1,eyJR0JcLIT,com.sec.android.app.shealth,b6742ea5-3c8a-463c-b760-5c0ef111fbd9,1713225600000,
62810050,,62810050,2024-10-24 04:58:53.862,2024-10-24 04:58:53.862,10,1,eyJR0JcLIT,com.sec.android.app.shealth,3f436283-6a0d-479c-b845-5c5abcbb7468,1709769600000,
62810050,,62810050,2024-10-24 04:58:53.877,2024-10-24 04:58:53.877,4,1,eyJR0JcLIT,com.sec.android.app.shealth,bca41bb0-901a-41f9-8aba-e0285e3a299b,1693094400000,
62810050,,62810050,2024-10-24 04:58:53.895,2024-10-24 04:58:53.895,8,1,eyJR0JcLIT,com.sec.android.app.shealth,e5b69791-920b-4351-b2ea-83c0e7165aa3,1710979200000,
62810050,,62820030,2024-11-07 23:24:43.493,2024-10-24 04:58:53.906,4,1,eyJR0JcLIT,com.sec.android.app.shealth,123609f8-1e81-4bd4-a329-82c89fc94f48,1728864000000,
62810050,,62810050,2024-10-24 04:58:53.916,2024-10-24 04:58:53.916,8,1,eyJR0JcLIT,com.sec.android.app.shealth,02cbbc8c-9362-4e87-b38e-e1677ac45c81,1714435200000,
62810050,,62810050,2024-10-24 04:58:53.943,2024-10-24 04:58:53.943,4,1,eyJR0JcLIT,com.sec.android.app.shealth,7e8f153d-42be-42d4-b1fe-c8895a1d3a8e,1718496000000,
62810050,,62810050,2024-10-24 04:58:53.955,2024-10-24 04:58:53.955,2,1,eyJR0JcLIT,com.sec.android.app.shealth,d10152a5-6e1a-48a0-9e46-3017052fdf76,1700006400000,
62810050,,62810050,2024-10-24 04:58:53.975,2024-10-24 04:58:53.975,1,1,eyJR0JcLIT,com.sec.android.app.shealth,8098db9a-eb96-4cf8-83ee-da48fedab7ef,1710374400000,
