com.samsung.shealth.report,6302031,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
America/New_York,1716696000000,2024-06-02 19:34:42.745,2024-06-02 19:34:42.745,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,5fc0eb3b-00cf-4b95-a24a-0fcce19f1958,5fc0eb3b-00cf-4b95-a24a-0fcce19f1958.compressed_content.json,
America/New_York,1717300800000,2024-06-09 19:35:19.336,2024-06-09 19:35:19.336,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,b8c2b124-a167-432c-8ac7-4aa90bc5941d,b8c2b124-a167-432c-8ac7-4aa90bc5941d.compressed_content.json,
America/New_York,1717905600000,2024-06-16 19:37:25.584,2024-06-16 19:37:25.584,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,779133af-3c61-4067-a431-f2971b27e6d6,779133af-3c61-4067-a431-f2971b27e6d6.compressed_content.json,
America/New_York,1718510400000,2024-06-23 19:35:03.891,2024-06-23 19:35:03.891,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,0a957555-1781-42c9-9e20-de626c2b5443,0a957555-1781-42c9-9e20-de626c2b5443.compressed_content.json,
America/New_York,1719115200000,2024-06-30 19:34:44.730,2024-06-30 19:34:44.730,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,83a0a258-dcf1-4e8d-a7e1-f8596dceef7c,83a0a258-dcf1-4e8d-a7e1-f8596dceef7c.compressed_content.json,
America/New_York,1719720000000,2024-07-07 19:56:26.216,2024-07-07 19:56:26.216,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,547231a9-f357-4504-bd4a-c10ca9d6749e,547231a9-f357-4504-bd4a-c10ca9d6749e.compressed_content.json,
America/New_York,1720324800000,2024-07-14 17:01:22.094,2024-07-14 17:01:22.094,0,0,3,O9FeBgTflh,X,com.sec.android.app.shealth,6b14f900-f0b8-465a-9c2f-7f63310bd854,6b14f900-f0b8-465a-9c2f-7f63310bd854.compressed_content.json,
America/New_York,1720929600000,2024-07-21 17:01:30.431,2024-07-21 17:01:30.431,0,0,3,O9FeBgTflh,X,com.sec.android.app.shealth,c7e42695-474f-4536-8cd8-a5f567b22f64,c7e42695-474f-4536-8cd8-a5f567b22f64.compressed_content.json,
America/New_York,1721534400000,2024-07-28 17:01:10.567,2024-07-28 17:01:10.567,0,0,3,O9FeBgTflh,X,com.sec.android.app.shealth,acee2f04-8404-4487-bbeb-0a819db2227b,acee2f04-8404-4487-bbeb-0a819db2227b.compressed_content.json,
America/New_York,1722139200000,2024-08-04 17:05:50.540,2024-08-04 17:05:50.540,0,0,3,O9FeBgTflh,X,com.sec.android.app.shealth,6d7c41fd-efea-4925-b6b3-581c369b26a7,6d7c41fd-efea-4925-b6b3-581c369b26a7.compressed_content.json,
America/New_York,1722744000000,2024-08-11 17:01:07.688,2024-08-11 17:01:07.688,0,0,3,O9FeBgTflh,X,com.sec.android.app.shealth,e10361d2-2273-40c0-b5fc-fd21597777c9,e10361d2-2273-40c0-b5fc-fd21597777c9.compressed_content.json,
America/New_York,1723348800000,2024-08-18 18:48:59.179,2024-08-18 18:48:59.179,0,0,3,eyJR0JcLIT,X,com.sec.android.app.shealth,1def16de-b27c-4f78-b57e-a3bd1a8338d3,1def16de-b27c-4f78-b57e-a3bd1a8338d3.compressed_content.json,
America/New_York,1723953600000,2024-08-25 18:49:26.859,2024-08-25 18:49:26.859,0,0,3,eyJR0JcLIT,X,com.sec.android.app.shealth,bd4a98b1-c3de-4466-a220-28d427c74836,bd4a98b1-c3de-4466-a220-28d427c74836.compressed_content.json,
America/New_York,1724558400000,2024-09-01 18:49:27.562,2024-09-01 18:49:27.562,0,0,3,eyJR0JcLIT,X,com.sec.android.app.shealth,8e04437c-e571-4083-851b-8d6d4d76e634,8e04437c-e571-4083-851b-8d6d4d76e634.compressed_content.json,
America/New_York,1725163200000,2024-09-08 18:55:48.058,2024-09-08 18:55:48.058,0,0,3,eyJR0JcLIT,X,com.sec.android.app.shealth,13a78f05-a148-477c-909c-a0782adf7cd4,13a78f05-a148-477c-909c-a0782adf7cd4.compressed_content.json,
America/New_York,1725768000000,2024-09-15 18:49:28.006,2024-09-15 18:49:28.006,0,0,3,eyJR0JcLIT,X,com.sec.android.app.shealth,c20ba5fc-ff8f-4c61-a85c-608bc3bc4ddc,c20ba5fc-ff8f-4c61-a85c-608bc3bc4ddc.compressed_content.json,
America/New_York,1726372800000,2024-09-22 18:49:11.545,2024-09-22 18:49:11.545,0,0,3,eyJR0JcLIT,X,com.sec.android.app.shealth,6e80b032-9c65-4b45-b05a-60ca6b885604,6e80b032-9c65-4b45-b05a-60ca6b885604.compressed_content.json,
America/New_York,1726977600000,2024-09-29 18:51:32.001,2024-09-29 18:51:32.001,0,0,3,eyJR0JcLIT,X,com.sec.android.app.shealth,4b13b3a7-bdb3-4f15-b12f-3376c0256151,4b13b3a7-bdb3-4f15-b12f-3376c0256151.compressed_content.json,
America/New_York,1727582400000,2024-10-12 18:49:21.590,2024-10-12 18:49:21.590,0,0,3,eyJR0JcLIT,X,com.sec.android.app.shealth,70610ead-3530-432f-9775-c0aca365464d,70610ead-3530-432f-9775-c0aca365464d.compressed_content.json,
America/New_York,1728187200000,2024-10-13 18:49:23.056,2024-10-13 18:49:23.056,0,0,3,eyJR0JcLIT,X,com.sec.android.app.shealth,1a1b857e-be05-4913-a52d-63cac9edafbc,1a1b857e-be05-4913-a52d-63cac9edafbc.compressed_content.json,
America/New_York,1728792000000,2024-10-20 18:57:58.824,2024-10-20 18:57:58.824,0,0,3,eyJR0JcLIT,X,com.sec.android.app.shealth,b07680eb-0150-4fa6-b5a5-8fac762a9661,b07680eb-0150-4fa6-b5a5-8fac762a9661.compressed_content.json,
America/New_York,1729396800000,2024-10-27 18:49:09.341,2024-10-27 18:49:09.341,0,0,3,eyJR0JcLIT,X,com.sec.android.app.shealth,84cbc372-0628-4264-9772-5dcd37ad9416,84cbc372-0628-4264-9772-5dcd37ad9416.compressed_content.json,
